instance,dsatur,max_clique,max_path,max_degree,min_width,lex
random_graph_1_1000_0.1_0_1.col,0,0,0,0,0,0
random_graph_1_1000_0.1_0_2.col,0,0,0,0,0,0
random_graph_1_1000_0.1_0_3.col,0,0,0,0,0,0
random_graph_1_1000_0.1_100_1.col,0,0,0,0,0,0
random_graph_1_1000_0.1_100_2.col,0,0,0,0,0,0
random_graph_1_1000_0.1_100_3.col,0,0,0,0,0,0
random_graph_1_1000_0.1_50_1.col,0,0,0,0,0,0
random_graph_1_1000_0.1_50_2.col,0,0,0,0,0,0
random_graph_1_1000_0.1_50_3.col,0,0,0,0,0,0
random_graph_1_1000_0.5_0_1.col,0,0,0,0,0,0
random_graph_1_1000_0.5_0_2.col,0,0,0,0,0,0
random_graph_1_1000_0.5_0_3.col,0,0,0,0,0,0
random_graph_1_1000_0.5_100_1.col,0,0,0,0,0,0
random_graph_1_1000_0.5_100_2.col,0,0,0,0,0,0
random_graph_1_1000_0.5_100_3.col,0,0,0,0,0,0
random_graph_1_1000_0.5_50_1.col,0,0,0,0,0,0
random_graph_1_1000_0.5_50_2.col,0,0,0,0,0,0
random_graph_1_1000_0.5_50_3.col,0,0,0,0,0,0
random_graph_1_1000_0.9_0_1.col,0,0,0,0,0,0
random_graph_1_1000_0.9_0_2.col,0,0,0,0,0,0
random_graph_1_1000_0.9_0_3.col,0,0,0,0,0,0
random_graph_1_1000_0.9_100_1.col,0,0,0,0,0,0
random_graph_1_1000_0.9_100_2.col,0,0,0,0,0,0
random_graph_1_1000_0.9_100_3.col,0,0,0,0,0,0
random_graph_1_1000_0.9_50_1.col,3164,0,0,3355,3191,0
random_graph_1_1000_0.9_50_2.col,3243,0,0,3254,3184,0
random_graph_1_1000_0.9_50_3.col,2267,0,0,2999,3103,0
random_graph_1_100_0.1_0_1.col,0,0,0,0,0,0
random_graph_1_100_0.1_0_2.col,0,0,0,0,0,0
random_graph_1_100_0.1_0_3.col,0,0,0,0,0,0
random_graph_1_100_0.1_10_1.col,0,0,0,0,0,0
random_graph_1_100_0.1_10_2.col,0,0,0,0,0,0
random_graph_1_100_0.1_10_3.col,0,0,0,0,0,0
random_graph_1_100_0.1_20_1.col,0,0,0,0,0,0
random_graph_1_100_0.1_20_2.col,0,0,0,0,0,0
random_graph_1_100_0.1_20_3.col,0,0,0,0,0,0
random_graph_1_100_0.5_0_1.col,0,0,0,0,0,0
random_graph_1_100_0.5_0_2.col,0,0,0,0,0,0
random_graph_1_100_0.5_0_3.col,0,0,0,0,0,0
random_graph_1_100_0.5_10_1.col,3146,0,0,3393,3460,0
random_graph_1_100_0.5_10_2.col,3150,0,0,3392,3461,0
random_graph_1_100_0.5_10_3.col,0,0,0,0,0,0
random_graph_1_100_0.5_20_1.col,0,0,0,0,0,0
random_graph_1_100_0.5_20_2.col,0,0,0,0,0,0
random_graph_1_100_0.5_20_3.col,0,0,0,0,0,0
random_graph_1_100_0.9_0_1.col,3589,3589,3579,3585,3590,3577
random_graph_1_100_0.9_0_2.col,3589,3589,3578,3585,3590,3577
random_graph_1_100_0.9_0_3.col,3589,3589,3578,3585,3590,3578
random_graph_1_100_0.9_10_1.col,3600,3600,3600,3600,3600,3600
random_graph_1_100_0.9_10_2.col,3600,3600,3600,3600,3600,3600
random_graph_1_100_0.9_10_3.col,3600,3600,3598,3600,3600,3599
random_graph_1_100_0.9_20_1.col,3598,3596,3574,3595,3597,3588
random_graph_1_100_0.9_20_2.col,3598,3596,3576,3595,3597,3588
random_graph_1_100_0.9_20_3.col,3599,3597,3579,3599,3599,3586
random_graph_1_250_0.1_0_1.col,0,0,0,0,0,0
random_graph_1_250_0.1_0_2.col,0,0,0,0,0,0
random_graph_1_250_0.1_0_3.col,0,0,0,0,0,0
random_graph_1_250_0.1_25_1.col,0,0,0,0,0,0
random_graph_1_250_0.1_25_2.col,0,0,0,0,0,0
random_graph_1_250_0.1_25_3.col,0,0,0,0,0,0
random_graph_1_250_0.1_50_1.col,0,0,0,0,0,0
random_graph_1_250_0.1_50_2.col,0,0,0,0,0,0
random_graph_1_250_0.1_50_3.col,0,0,0,0,0,0
random_graph_1_250_0.5_0_1.col,0,0,0,0,0,0
random_graph_1_250_0.5_0_2.col,0,0,0,0,0,0
random_graph_1_250_0.5_0_3.col,0,0,0,0,0,0
random_graph_1_250_0.5_25_1.col,0,0,0,0,0,0
random_graph_1_250_0.5_25_2.col,0,0,0,0,0,0
random_graph_1_250_0.5_25_3.col,0,0,0,0,0,0
random_graph_1_250_0.5_50_1.col,0,0,0,0,0,0
random_graph_1_250_0.5_50_2.col,0,0,0,0,0,0
random_graph_1_250_0.5_50_3.col,0,0,0,0,0,0
random_graph_1_250_0.9_0_1.col,0,0,0,0,0,0
random_graph_1_250_0.9_0_2.col,0,0,0,0,0,0
random_graph_1_250_0.9_0_3.col,0,0,0,0,0,0
random_graph_1_250_0.9_25_1.col,3599,3593,3465,3599,3600,3474
random_graph_1_250_0.9_25_2.col,3599,3594,3470,3599,3600,3475
random_graph_1_250_0.9_25_3.col,3597,3590,2031,3599,3596,2257
random_graph_1_250_0.9_50_1.col,2307,2691,0,3003,3039,0
random_graph_1_250_0.9_50_2.col,2190,2339,0,2923,3036,0
random_graph_1_250_0.9_50_3.col,2381,2376,0,3009,3180,0
random_graph_1_500_0.1_0_1.col,0,0,0,0,0,0
random_graph_1_500_0.1_0_2.col,0,0,0,0,0,0
random_graph_1_500_0.1_0_3.col,0,0,0,0,0,0
random_graph_1_500_0.1_100_1.col,0,0,0,0,0,0
random_graph_1_500_0.1_100_2.col,0,0,0,0,0,0
random_graph_1_500_0.1_100_3.col,0,0,0,0,0,0
random_graph_1_500_0.1_25_1.col,0,0,0,0,0,0
random_graph_1_500_0.1_25_2.col,0,0,0,0,0,0
random_graph_1_500_0.1_25_3.col,0,0,0,0,0,0
random_graph_1_500_0.5_0_1.col,0,0,0,0,0,0
random_graph_1_500_0.5_0_2.col,0,0,0,0,0,0
random_graph_1_500_0.5_0_3.col,0,0,0,0,0,0
random_graph_1_500_0.5_100_1.col,0,0,0,0,0,0
random_graph_1_500_0.5_100_2.col,0,0,0,0,0,0
random_graph_1_500_0.5_100_3.col,0,0,0,0,0,0
random_graph_1_500_0.5_25_1.col,0,0,0,0,0,0
random_graph_1_500_0.5_25_2.col,0,0,0,0,0,0
random_graph_1_500_0.5_25_3.col,0,0,0,0,0,0
random_graph_1_500_0.9_0_1.col,0,0,0,0,0,0
random_graph_1_500_0.9_0_2.col,0,0,0,0,0,0
random_graph_1_500_0.9_0_3.col,0,0,0,0,0,0
random_graph_1_500_0.9_100_1.col,0,0,0,0,0,0
random_graph_1_500_0.9_100_2.col,0,0,0,0,0,0
random_graph_1_500_0.9_100_3.col,0,0,0,0,0,0
random_graph_1_500_0.9_25_1.col,3599,3593,3262,3598,3596,3310
random_graph_1_500_0.9_25_2.col,3599,3593,3243,3598,3595,3309
random_graph_1_500_0.9_25_3.col,3598,3562,2456,3599,3599,2859
random_graph_3_1000_0.05_0_1.col,3306,0,0,3596,3597,0
random_graph_3_1000_0.05_0_2.col,3241,0,0,3596,3597,0
random_graph_3_1000_0.05_0_3.col,3168,0,0,3595,3597,0
random_graph_3_1000_0.05_100_1.col,0,0,0,0,0,0
random_graph_3_1000_0.05_100_2.col,0,0,0,0,0,0
random_graph_3_1000_0.05_100_3.col,0,0,0,0,0,0
random_graph_3_1000_0.05_50_1.col,0,0,0,0,0,0
random_graph_3_1000_0.05_50_2.col,0,0,0,0,0,0
random_graph_3_1000_0.05_50_3.col,0,0,0,0,0,0
random_graph_3_1000_0.35_0_1.col,2233,0,0,2212,3222,0
random_graph_3_1000_0.35_0_2.col,2351,0,0,2128,3174,0
random_graph_3_1000_0.35_0_3.col,2358,0,0,2466,3234,0
random_graph_3_1000_0.35_100_1.col,0,0,0,0,0,0
random_graph_3_1000_0.35_100_2.col,0,0,0,0,0,0
random_graph_3_1000_0.35_100_3.col,0,0,0,0,0,0
random_graph_3_1000_0.35_50_1.col,3596,3587,0,3596,3596,0
random_graph_3_1000_0.35_50_2.col,3596,3587,0,3596,3596,0
random_graph_3_1000_0.35_50_3.col,3596,3587,0,3596,3596,0
random_graph_3_1000_0.7_0_1.col,1813,2092,0,0,2357,0
random_graph_3_1000_0.7_0_2.col,0,2431,0,0,2250,0
random_graph_3_1000_0.7_0_3.col,1969,2406,0,0,2228,0
random_graph_3_1000_0.7_100_1.col,3584,3568,0,3583,3585,0
random_graph_3_1000_0.7_100_2.col,3585,3569,0,3583,3585,0
random_graph_3_1000_0.7_100_3.col,3585,3570,0,3583,3585,0
random_graph_3_1000_0.7_50_1.col,3595,3584,0,3595,3595,0
random_graph_3_1000_0.7_50_2.col,3595,3584,0,3595,3595,0
random_graph_3_1000_0.7_50_3.col,3595,3584,0,3595,3595,0
random_graph_3_100_0.05_0_1.col,3600,3600,3597,3600,3600,0
random_graph_3_100_0.05_0_2.col,3600,3600,3597,3600,3600,0
random_graph_3_100_0.05_0_3.col,3600,3600,3597,3600,3600,0
random_graph_3_100_0.05_10_1.col,3600,3600,2373,3600,3600,0
random_graph_3_100_0.05_10_2.col,3600,3600,2363,3600,3600,0
random_graph_3_100_0.05_10_3.col,3600,3600,3599,3600,3600,0
random_graph_3_100_0.05_20_1.col,3600,3600,3590,3600,3600,0
random_graph_3_100_0.05_20_2.col,3600,3600,3590,3600,3600,0
random_graph_3_100_0.05_20_3.col,3600,0,3566,3600,3600,0
random_graph_3_100_0.35_0_1.col,3599,3597,3526,3599,3600,3463
random_graph_3_100_0.35_0_2.col,3599,3597,3526,3599,3600,3461
random_graph_3_100_0.35_0_3.col,3599,3597,3526,3599,3600,3455
random_graph_3_100_0.35_10_1.col,3600,3600,3564,3599,3599,3446
random_graph_3_100_0.35_10_2.col,3600,3600,3564,3599,3599,3451
random_graph_3_100_0.35_10_3.col,3599,3600,3533,3599,3599,3440
random_graph_3_100_0.35_20_1.col,3598,3600,3353,3598,3595,2998
random_graph_3_100_0.35_20_2.col,3598,3600,3338,3598,3595,3001
random_graph_3_100_0.35_20_3.col,3600,3595,3177,3600,3600,3007
random_graph_3_100_0.7_0_1.col,3599,3599,3592,3600,3599,3591
random_graph_3_100_0.7_0_2.col,3599,3599,3592,3600,3599,3591
random_graph_3_100_0.7_0_3.col,3599,3599,3592,3600,3599,3591
random_graph_3_100_0.7_10_1.col,3600,3600,3600,3600,3600,3600
random_graph_3_100_0.7_10_2.col,3600,3600,3600,3600,3600,3600
random_graph_3_100_0.7_10_3.col,3600,3600,3599,3600,3600,3599
random_graph_3_100_0.7_20_1.col,3600,3600,3590,3600,3600,3596
random_graph_3_100_0.7_20_2.col,3600,3600,3590,3600,3600,3596
random_graph_3_100_0.7_20_3.col,3599,3600,3587,3599,3600,3585
random_graph_3_250_0.05_0_1.col,3600,3600,0,3600,3600,0
random_graph_3_250_0.05_0_2.col,3600,3600,0,3600,3600,0
random_graph_3_250_0.05_0_3.col,3600,3600,0,3600,3600,0
random_graph_3_250_0.05_25_1.col,3577,0,0,3580,3600,0
random_graph_3_250_0.05_25_2.col,3576,0,0,3580,3600,0
random_graph_3_250_0.05_25_3.col,3589,3600,0,3590,0,0
random_graph_3_250_0.05_50_1.col,3585,3600,0,3586,3600,0
random_graph_3_250_0.05_50_2.col,3585,3600,0,3586,3600,0
random_graph_3_250_0.05_50_3.col,3598,3596,0,3597,3600,0
random_graph_3_250_0.35_0_1.col,3593,3543,0,3597,3597,0
random_graph_3_250_0.35_0_2.col,3593,3544,0,3597,3597,0
random_graph_3_250_0.35_0_3.col,3592,3543,0,3597,3597,0
random_graph_3_250_0.35_25_1.col,3586,3600,0,3562,3585,0
random_graph_3_250_0.35_25_2.col,3586,3600,0,3563,3585,0
random_graph_3_250_0.35_25_3.col,3581,3405,0,3557,3568,0
random_graph_3_250_0.35_50_1.col,3571,0,0,3422,3513,0
random_graph_3_250_0.35_50_2.col,3571,0,0,3419,3515,0
random_graph_3_250_0.35_50_3.col,3575,2227,0,3540,3494,0
random_graph_3_250_0.7_0_1.col,3592,3579,3374,3593,3592,3327
random_graph_3_250_0.7_0_2.col,3592,3579,3369,3593,3589,3346
random_graph_3_250_0.7_0_3.col,3592,3578,3379,3593,3588,3330
random_graph_3_250_0.7_25_1.col,3600,3600,3547,3600,3600,3536
random_graph_3_250_0.7_25_2.col,3600,3600,3548,3600,3600,3536
random_graph_3_250_0.7_25_3.col,3600,3600,3154,3600,3600,3042
random_graph_3_250_0.7_50_1.col,3599,3599,3136,3599,3599,2951
random_graph_3_250_0.7_50_2.col,3599,3599,3159,3599,3599,2936
random_graph_3_250_0.7_50_3.col,3576,3596,2838,3353,3495,2715
random_graph_3_500_0.05_0_1.col,3572,3599,0,3574,3599,0
random_graph_3_500_0.05_0_2.col,3572,3599,0,3575,3599,0
random_graph_3_500_0.05_0_3.col,3571,3599,0,3573,3599,0
random_graph_3_500_0.05_100_1.col,3535,0,0,3599,3600,0
random_graph_3_500_0.05_100_2.col,3524,0,0,3599,3599,0
random_graph_3_500_0.05_100_3.col,3598,0,0,3590,0,0
random_graph_3_500_0.05_25_1.col,2234,0,0,3099,0,0
random_graph_3_500_0.05_25_2.col,2333,0,0,3063,0,0
random_graph_3_500_0.05_25_3.col,3519,0,0,3546,3493,0
random_graph_3_500_0.35_0_1.col,3389,2556,0,3371,3575,0
random_graph_3_500_0.35_0_2.col,3350,2456,0,3368,3576,0
random_graph_3_500_0.35_0_3.col,3365,2538,0,3365,3577,0
random_graph_3_500_0.35_100_1.col,2150,0,0,2315,3094,0
random_graph_3_500_0.35_100_2.col,2141,0,0,2405,3041,0
random_graph_3_500_0.35_100_3.col,2472,0,0,2824,3274,0
random_graph_3_500_0.35_25_1.col,3600,3599,0,3600,3600,0
random_graph_3_500_0.35_25_2.col,3600,3599,0,3600,3600,0
random_graph_3_500_0.35_25_3.col,3600,3401,0,3529,3537,0
random_graph_3_500_0.7_0_1.col,3475,3373,0,3497,3513,0
random_graph_3_500_0.7_0_2.col,3472,3370,0,3495,3503,0
random_graph_3_500_0.7_0_3.col,3476,3368,0,3493,3501,0
random_graph_3_500_0.7_100_1.col,3580,0,0,3594,3485,0
random_graph_3_500_0.7_100_2.col,3580,0,0,3594,3494,0
random_graph_3_500_0.7_100_3.col,3348,2663,0,3238,0,0
random_graph_3_500_0.7_25_1.col,3600,3599,3073,3600,3600,3121
random_graph_3_500_0.7_25_2.col,3600,3599,3101,3600,3600,3142
random_graph_3_500_0.7_25_3.col,3600,3599,2681,3600,3600,2775
random_graph_4_1000_0.1_0_1.col,0,0,0,0,0,0
random_graph_4_1000_0.1_0_2.col,0,0,0,0,0,0
random_graph_4_1000_0.1_0_3.col,0,0,0,0,0,0
random_graph_4_1000_0.1_100_1.col,0,0,0,0,0,0
random_graph_4_1000_0.1_100_2.col,0,0,0,0,0,0
random_graph_4_1000_0.1_100_3.col,0,0,0,0,0,0
random_graph_4_1000_0.1_50_1.col,0,0,0,0,0,0
random_graph_4_1000_0.1_50_2.col,0,0,0,0,0,0
random_graph_4_1000_0.1_50_3.col,0,0,0,0,0,0
random_graph_4_1000_0.5_0_1.col,0,0,0,0,0,0
random_graph_4_1000_0.5_0_2.col,0,0,0,0,0,0
random_graph_4_1000_0.5_0_3.col,0,0,0,0,0,0
random_graph_4_1000_0.5_100_1.col,0,0,0,0,0,0
random_graph_4_1000_0.5_100_2.col,0,0,0,0,0,0
random_graph_4_1000_0.5_100_3.col,0,0,0,0,0,0
random_graph_4_1000_0.5_50_1.col,0,0,0,0,0,0
random_graph_4_1000_0.5_50_2.col,0,0,0,0,0,0
random_graph_4_1000_0.5_50_3.col,0,0,0,0,0,0
random_graph_4_1000_0.9_0_1.col,0,0,0,0,0,0
random_graph_4_1000_0.9_0_2.col,0,0,0,0,0,0
random_graph_4_1000_0.9_0_3.col,0,0,0,0,0,0
random_graph_4_1000_0.9_100_1.col,0,0,0,0,0,0
random_graph_4_1000_0.9_100_2.col,0,0,0,0,0,0
random_graph_4_1000_0.9_100_3.col,0,0,0,0,0,0
random_graph_4_1000_0.9_50_1.col,3241,0,0,3315,3138,0
random_graph_4_1000_0.9_50_2.col,3183,0,0,3289,3129,0
random_graph_4_1000_0.9_50_3.col,3252,0,0,2817,3038,0
random_graph_4_100_0.1_0_1.col,0,0,0,0,0,0
random_graph_4_100_0.1_0_2.col,0,0,0,0,0,0
random_graph_4_100_0.1_0_3.col,0,0,0,0,0,0
random_graph_4_100_0.1_10_1.col,0,0,0,0,0,0
random_graph_4_100_0.1_10_2.col,0,0,0,0,0,0
random_graph_4_100_0.1_10_3.col,0,0,0,0,0,0
random_graph_4_100_0.1_20_1.col,0,0,0,0,0,0
random_graph_4_100_0.1_20_2.col,0,0,0,0,0,0
random_graph_4_100_0.1_20_3.col,0,0,0,0,0,0
random_graph_4_100_0.5_0_1.col,0,0,0,0,0,0
random_graph_4_100_0.5_0_2.col,0,0,0,0,0,0
random_graph_4_100_0.5_0_3.col,0,0,0,0,0,0
random_graph_4_100_0.5_10_1.col,2431,0,0,3202,3072,0
random_graph_4_100_0.5_10_2.col,2499,0,0,3206,3044,0
random_graph_4_100_0.5_10_3.col,0,0,0,0,0,0
random_graph_4_100_0.5_20_1.col,0,0,0,0,0,0
random_graph_4_100_0.5_20_2.col,0,0,0,0,0,0
random_graph_4_100_0.5_20_3.col,0,0,0,0,0,0
random_graph_4_100_0.9_0_1.col,3589,3584,3590,3588,3588,3583
random_graph_4_100_0.9_0_2.col,3588,3584,3581,3587,3588,3585
random_graph_4_100_0.9_0_3.col,3589,3584,3590,3588,3588,3579
random_graph_4_100_0.9_10_1.col,3600,3600,3599,3600,3600,3599
random_graph_4_100_0.9_10_2.col,3600,3600,3599,3600,3600,3599
random_graph_4_100_0.9_10_3.col,3600,3600,3599,3600,3600,3598
random_graph_4_100_0.9_20_1.col,3599,3591,3582,3596,3596,3586
random_graph_4_100_0.9_20_2.col,3599,3591,3587,3595,3596,3579
random_graph_4_100_0.9_20_3.col,3596,3525,3568,3596,3571,3568
random_graph_4_250_0.1_0_1.col,0,0,0,0,0,0
random_graph_4_250_0.1_0_2.col,0,0,0,0,0,0
random_graph_4_250_0.1_0_3.col,0,0,0,0,0,0
random_graph_4_250_0.1_25_1.col,0,0,0,0,0,0
random_graph_4_250_0.1_25_2.col,0,0,0,0,0,0
random_graph_4_250_0.1_25_3.col,0,0,0,0,0,0
random_graph_4_250_0.1_50_1.col,0,0,0,0,0,0
random_graph_4_250_0.1_50_2.col,0,0,0,0,0,0
random_graph_4_250_0.1_50_3.col,0,0,0,0,0,0
random_graph_4_250_0.5_0_1.col,0,0,0,0,0,0
random_graph_4_250_0.5_0_2.col,0,0,0,0,0,0
random_graph_4_250_0.5_0_3.col,0,0,0,0,0,0
random_graph_4_250_0.5_25_1.col,0,0,0,0,0,0
random_graph_4_250_0.5_25_2.col,0,0,0,0,0,0
random_graph_4_250_0.5_25_3.col,0,0,0,0,0,0
random_graph_4_250_0.5_50_1.col,0,0,0,0,0,0
random_graph_4_250_0.5_50_2.col,0,0,0,0,0,0
random_graph_4_250_0.5_50_3.col,0,0,0,0,0,0
random_graph_4_250_0.9_0_1.col,0,0,0,0,0,0
random_graph_4_250_0.9_0_2.col,0,0,0,0,0,0
random_graph_4_250_0.9_0_3.col,0,0,0,0,0,0
random_graph_4_250_0.9_25_1.col,3600,3577,3342,3598,3599,3318
random_graph_4_250_0.9_25_2.col,3599,3577,3407,3598,3598,3292
random_graph_4_250_0.9_25_3.col,3590,3577,0,3587,3593,0
random_graph_4_250_0.9_50_1.col,2590,2535,2507,2756,2630,0
random_graph_4_250_0.9_50_2.col,2532,2457,2617,2763,2648,1839
random_graph_4_250_0.9_50_3.col,0,2182,0,2620,2572,0
random_graph_4_500_0.1_0_1.col,0,0,0,0,0,0
random_graph_4_500_0.1_0_2.col,0,0,0,0,0,0
random_graph_4_500_0.1_0_3.col,0,0,0,0,0,0
random_graph_4_500_0.1_100_1.col,0,0,0,0,0,0
random_graph_4_500_0.1_100_2.col,0,0,0,0,0,0
random_graph_4_500_0.1_100_3.col,0,0,0,0,0,0
random_graph_4_500_0.1_25_1.col,0,0,0,0,0,0
random_graph_4_500_0.1_25_2.col,0,0,0,0,0,0
random_graph_4_500_0.1_25_3.col,0,0,0,0,0,0
random_graph_4_500_0.5_0_1.col,0,0,0,0,0,0
random_graph_4_500_0.5_0_2.col,0,0,0,0,0,0
random_graph_4_500_0.5_0_3.col,0,0,0,0,0,0
random_graph_4_500_0.5_100_1.col,0,0,0,0,0,0
random_graph_4_500_0.5_100_2.col,0,0,0,0,0,0
random_graph_4_500_0.5_100_3.col,0,0,0,0,0,0
random_graph_4_500_0.5_25_1.col,0,0,0,0,0,0
random_graph_4_500_0.5_25_2.col,0,0,0,0,0,0
random_graph_4_500_0.5_25_3.col,0,0,0,0,0,0
random_graph_4_500_0.9_0_1.col,0,0,0,0,0,0
random_graph_4_500_0.9_0_2.col,0,0,0,0,0,0
random_graph_4_500_0.9_0_3.col,0,0,0,0,0,0
random_graph_4_500_0.9_100_1.col,0,0,0,0,0,0
random_graph_4_500_0.9_100_2.col,0,0,0,0,0,0
random_graph_4_500_0.9_100_3.col,0,0,0,0,0,0
random_graph_4_500_0.9_25_1.col,3599,3585,2784,3600,3600,3096
random_graph_4_500_0.9_25_2.col,3599,3587,2905,3600,3600,2987
random_graph_4_500_0.9_25_3.col,3599,3563,2284,3600,3598,0
