Gain,Average Gap Covered,
0.893455,-0.050366,
0.913349,0.169474,
0.923241,0.332348,
0.92667,0.376978,
0.92667,0.376978,
0.92667,0.376978,
0.92667,0.376978,
0.92667,0.376978,
0.92667,0.376978,
0.92667,0.376978,
0.92785,0.311654,
0.92785,0.311654,
0.92785,0.311654,
0.928054,0.259551,
0.928054,0.259551,
0.92816,0.211906,
0.92816,0.211906,
0.92816,0.211906,
0.92816,0.211906,
0.92816,0.19283,
0.92816,0.19283,
0.928436,0.108055,
0.92868,0.10732,
0.92868,0.10732,
0.931781,0.379769,
0.931785,0.377151,
0.931785,0.377151,
0.931785,0.377151,
0.931785,0.377151,
0.931889,0.301917,
0.931889,0.301917,
0.931889,0.301917,
0.931889,0.301917,
0.932701,0.465525,
0.932701,0.465525,
0.932701,0.465525,
0.932701,0.465525,
0.932701,0.465525,
0.932701,0.465525,
0.932701,0.465525,
0.932797,0.354337,
0.932797,0.354337,
0.932797,0.354337,
0.933238,0.321436,
0.933238,0.321436,
0.933238,0.321436,
0.933238,0.321436,
0.933238,0.321436,
0.936818,0.354632,
0.936818,0.354632,
0.936818,0.354632,
0.936818,0.354632,
0.936818,0.354632,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937287,0.234342,
0.937426,0.257043,
0.937426,0.257043,
0.937426,0.257043,
0.937426,0.257043,
0.937426,0.257043,
0.937426,0.257043,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937636,0.24224,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937676,0.295725,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937711,0.28884,
0.937746,0.282606,
0.937746,0.282606,
0.937746,0.282606,
0.937746,0.282606,
0.937746,0.282606,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.937927,0.274581,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
0.938102,0.27953,
